resistência termistor	deformação
Ohm	
Teflon	Teflon
1069.36638	0.012391
1069.35464	0.012394
1069.35929	0.012396
1069.3626	0.012399
1069.35993	0.012401
1069.39871	0.012403
1069.42648	0.012406
1069.46061	0.012409
1069.47911	0.012411
1069.53959	0.012413
1069.54914	0.012415
1069.57682	0.012418
1069.61355	0.012419
1069.68985	0.012421
1069.81251	0.012423
1069.87316	0.012425
1069.91817	0.012427
1069.94399	0.01243
1069.96626	0.012432
